country_fr,iso3c,date,deaths_7dravg,index,score
Autriche,AUT,2019-12-31,0,NA,NA
Autriche,AUT,2020-01-01,0,stringency,0
Autriche,AUT,2020-01-01,0,gov_resp,0
Autriche,AUT,2020-01-01,0,health_containment,0
Autriche,AUT,2020-01-01,0,econ_support,0
Autriche,AUT,2020-01-02,0,stringency,0
Autriche,AUT,2020-01-02,0,gov_resp,0
Autriche,AUT,2020-01-02,0,health_containment,0
Autriche,AUT,2020-01-02,0,econ_support,0
Autriche,AUT,2020-01-03,0,stringency,0
Autriche,AUT,2020-01-03,0,gov_resp,0
Autriche,AUT,2020-01-03,0,health_containment,0
Autriche,AUT,2020-01-03,0,econ_support,0
Autriche,AUT,2020-01-04,0,stringency,0
Autriche,AUT,2020-01-04,0,gov_resp,0
Autriche,AUT,2020-01-04,0,health_containment,0
Autriche,AUT,2020-01-04,0,econ_support,0
Autriche,AUT,2020-01-05,0,stringency,0
Autriche,AUT,2020-01-05,0,gov_resp,0
Autriche,AUT,2020-01-05,0,health_containment,0
Autriche,AUT,2020-01-05,0,econ_support,0
Autriche,AUT,2020-01-06,0,stringency,0
Autriche,AUT,2020-01-06,0,gov_resp,0
Autriche,AUT,2020-01-06,0,health_containment,0
Autriche,AUT,2020-01-06,0,econ_support,0
Autriche,AUT,2020-01-07,0,stringency,0
Autriche,AUT,2020-01-07,0,gov_resp,0
Autriche,AUT,2020-01-07,0,health_containment,0
Autriche,AUT,2020-01-07,0,econ_support,0
Autriche,AUT,2020-01-08,0,stringency,0
Autriche,AUT,2020-01-08,0,gov_resp,0
Autriche,AUT,2020-01-08,0,health_containment,0
Autriche,AUT,2020-01-08,0,econ_support,0
Autriche,AUT,2020-01-09,0,stringency,0
Autriche,AUT,2020-01-09,0,gov_resp,0
Autriche,AUT,2020-01-09,0,health_containment,0
Autriche,AUT,2020-01-09,0,econ_support,0
Autriche,AUT,2020-01-10,0,stringency,0
Autriche,AUT,2020-01-10,0,gov_resp,0
Autriche,AUT,2020-01-10,0,health_containment,0
Autriche,AUT,2020-01-10,0,econ_support,0
Autriche,AUT,2020-01-11,0,stringency,0
Autriche,AUT,2020-01-11,0,gov_resp,0
Autriche,AUT,2020-01-11,0,health_containment,0
Autriche,AUT,2020-01-11,0,econ_support,0
Autriche,AUT,2020-01-12,0,stringency,0
Autriche,AUT,2020-01-12,0,gov_resp,0
Autriche,AUT,2020-01-12,0,health_containment,0
Autriche,AUT,2020-01-12,0,econ_support,0
Autriche,AUT,2020-01-13,0,stringency,0
Autriche,AUT,2020-01-13,0,gov_resp,0
Autriche,AUT,2020-01-13,0,health_containment,0
Autriche,AUT,2020-01-13,0,econ_support,0
Autriche,AUT,2020-01-14,0,stringency,0
Autriche,AUT,2020-01-14,0,gov_resp,0
Autriche,AUT,2020-01-14,0,health_containment,0
Autriche,AUT,2020-01-14,0,econ_support,0
Autriche,AUT,2020-01-15,0,stringency,0
Autriche,AUT,2020-01-15,0,gov_resp,0
Autriche,AUT,2020-01-15,0,health_containment,0
Autriche,AUT,2020-01-15,0,econ_support,0
Autriche,AUT,2020-01-16,0,stringency,0
Autriche,AUT,2020-01-16,0,gov_resp,0
Autriche,AUT,2020-01-16,0,health_containment,0
Autriche,AUT,2020-01-16,0,econ_support,0
Autriche,AUT,2020-01-17,0,stringency,0
Autriche,AUT,2020-01-17,0,gov_resp,0
Autriche,AUT,2020-01-17,0,health_containment,0
Autriche,AUT,2020-01-17,0,econ_support,0
Autriche,AUT,2020-01-18,0,stringency,0
Autriche,AUT,2020-01-18,0,gov_resp,0
Autriche,AUT,2020-01-18,0,health_containment,0
Autriche,AUT,2020-01-18,0,econ_support,0
Autriche,AUT,2020-01-19,0,stringency,0
Autriche,AUT,2020-01-19,0,gov_resp,0
Autriche,AUT,2020-01-19,0,health_containment,0
Autriche,AUT,2020-01-19,0,econ_support,0
Autriche,AUT,2020-01-20,0,stringency,0
Autriche,AUT,2020-01-20,0,gov_resp,0
Autriche,AUT,2020-01-20,0,health_containment,0
Autriche,AUT,2020-01-20,0,econ_support,0
Autriche,AUT,2020-01-21,0,stringency,0
Autriche,AUT,2020-01-21,0,gov_resp,0
Autriche,AUT,2020-01-21,0,health_containment,0
Autriche,AUT,2020-01-21,0,econ_support,0
Autriche,AUT,2020-01-22,0,stringency,0
Autriche,AUT,2020-01-22,0,gov_resp,0
Autriche,AUT,2020-01-22,0,health_containment,0
Autriche,AUT,2020-01-22,0,econ_support,0
Autriche,AUT,2020-01-23,0,stringency,0
Autriche,AUT,2020-01-23,0,gov_resp,0
Autriche,AUT,2020-01-23,0,health_containment,0
Autriche,AUT,2020-01-23,0,econ_support,0
Autriche,AUT,2020-01-24,0,stringency,0
Autriche,AUT,2020-01-24,0,gov_resp,0
Autriche,AUT,2020-01-24,0,health_containment,0
Autriche,AUT,2020-01-24,0,econ_support,0
Autriche,AUT,2020-01-25,0,stringency,0
Autriche,AUT,2020-01-25,0,gov_resp,0
Autriche,AUT,2020-01-25,0,health_containment,0
Autriche,AUT,2020-01-25,0,econ_support,0
Autriche,AUT,2020-01-26,0,stringency,0
Autriche,AUT,2020-01-26,0,gov_resp,0
Autriche,AUT,2020-01-26,0,health_containment,0
Autriche,AUT,2020-01-26,0,econ_support,0
Autriche,AUT,2020-01-27,0,stringency,0
Autriche,AUT,2020-01-27,0,gov_resp,0
Autriche,AUT,2020-01-27,0,health_containment,0
Autriche,AUT,2020-01-27,0,econ_support,0
Autriche,AUT,2020-01-28,0,stringency,0
Autriche,AUT,2020-01-28,0,gov_resp,0
Autriche,AUT,2020-01-28,0,health_containment,0
Autriche,AUT,2020-01-28,0,econ_support,0
Autriche,AUT,2020-01-29,0,stringency,0
Autriche,AUT,2020-01-29,0,gov_resp,0
Autriche,AUT,2020-01-29,0,health_containment,0
Autriche,AUT,2020-01-29,0,econ_support,0
Autriche,AUT,2020-01-30,0,stringency,0
Autriche,AUT,2020-01-30,0,gov_resp,0
Autriche,AUT,2020-01-30,0,health_containment,0
Autriche,AUT,2020-01-30,0,econ_support,0
Autriche,AUT,2020-01-31,0,stringency,0
Autriche,AUT,2020-01-31,0,gov_resp,0
